ZTF18acvwbos 0.030000 Ia
58575.3414005 1 20.7925 0.280548
58572.3484375 1 20.2642 0.294281
58547.3471528 1 20.5197 0.24235
58546.2818519 1 20.1083 0.208624
58526.4623843 1 20.1154 0.276024
58526.4614699 1 19.98 0.307063
58522.4878009 1 20.2161 0.212511
58511.487419 1 19.7974 0.162579
58511.4510532 1 19.7318 0.202497
58508.5484722 1 19.6606 0.325159
58508.5475579 1 19.5128 0.248141
58505.4750231 1 19.3381 0.28468
58494.5322338 1 19.4114 0.1157
58494.514919 1 19.3868 0.111094
58491.4908449 1 19.2183 0.131615
58491.489919 1 19.1976 0.134133
58487.5101736 1 18.854 0.103154
58486.5484028 1 18.7746 0.0831501
58480.5371412 1 18.1076 0.102595
58480.5362269 1 18.0542 0.0835405
58476.5544444 1 17.6359 0.0573162
58476.5535185 1 17.5886 0.0663026
58472.5329398 1 17.4339 0.0561431
58472.4727083 1 17.4895 0.0575561
58468.4487037 1 17.4312 0.0390286
