ZTF18acvwbos 0.030000 Ia
58575.4017824 2 20.1235 0.185592
58560.3695833 2 19.7251 0.217258
58559.2834606 2 19.7482 0.214565
58547.4912269 2 19.5327 0.125324
58543.3660417 2 19.2929 0.268571
58541.4929514 2 19.3627 0.121447
58538.4884144 2 19.3753 0.196928
58534.4331829 2 19.0163 0.267178
58526.5181713 2 18.9739 0.114437
58526.5172569 2 18.9726 0.119899
58511.5525 2 18.5776 0.0896556
58511.5327199 2 18.5906 0.094309
58508.5085301 2 18.4635 0.0850137
58508.4901273 2 18.4979 0.0836565
58505.5577083 2 18.3765 0.125556
58505.5562731 2 18.3936 0.136609
58502.5390972 2 18.316 0.0772463
58502.5381829 2 18.2212 0.0793509
58491.553912 2 17.7688 0.0491447
58487.5552662 2 17.4842 0.0526732
58486.5141088 2 17.4388 0.0378611
58480.5552315 2 17.1693 0.066315
58480.5533681 2 17.1675 0.0538231
58476.5287616 2 17.0862 0.0549763
58476.5278472 2 17.119 0.0385513
58472.5546528 2 17.1543 0.0449316
58469.5506019 2 17.4268 0.140331
58468.5141204 2 17.3879 0.0398433
58465.5121644 2 17.6372 0.0647104
