ZTF18acwutbr 0.011000 Ia
58547.1533333 2 19.6253 0.16785
58547.1129282 2 19.5418 0.140814
58540.2759838 2 19.2743 0.151255
58526.202419 2 18.8803 0.121662
58523.1856366 2 18.7819 0.0859697
58514.1444792 2 18.2454 0.0526327
58509.2547917 2 17.9772 0.085269
58508.2617361 2 17.929 0.058256
58507.2621412 2 17.9051 0.0686846
58506.2427546 2 17.9383 0.0662807
58504.2604745 2 17.8698 0.0659879
58493.2663079 2 17.5367 0.0473596
58491.2459722 2 17.3772 0.0398977
58490.227338 2 17.2968 0.0378617
58487.239375 2 17.1402 0.0396635
58471.2909838 2 18.3597 0.0876224
58468.2868171 2 19.4133 0.121448
