ZTF18acwwonp 0.031280 Ia
58586.2452315 2 20.1133 0.192951
58583.3265625 2 20.4107 0.318796
58580.3627083 2 20.2967 0.219763
58567.368669 2 19.8698 0.229802
58559.2834606 2 19.5921 0.168827
58543.3660417 2 19.2355 0.167871
58534.4267361 2 19.0223 0.202936
58526.5181713 2 18.7077 0.0968718
58511.5327199 2 17.8671 0.0709503
58508.4901273 2 17.7246 0.0577074
58505.5577083 2 17.5514 0.077298
58502.5381829 2 17.5209 0.0516053
58491.553912 2 17.0047 0.03858
58486.5141088 2 16.9681 0.0395543
58480.5552315 2 17.18 0.0425142
58476.5278472 2 17.595 0.0483688
58472.5546528 2 18.2881 0.053
58468.5141204 2 19.5102 0.13084
