ZTF18acyarki 0.025860 Ia
58586.3248611 2 20.4045 0.237891
58583.341088 2 19.8922 0.27307
58580.3807755 2 20.0505 0.18628
58575.4031366 2 19.9563 0.144371
58567.3878472 2 19.7607 0.170917
58560.4082292 2 19.5036 0.119189
58556.4266435 2 19.4313 0.120349
58547.5070023 2 19.1521 0.0891658
58541.4925 2 19.009 0.0671019
58538.5198843 2 19.1256 0.248651
58526.5153819 2 18.6181 0.093548
58511.5534375 2 18.1253 0.0567332
58508.4920255 2 18.0009 0.070351
58505.5539583 2 17.8487 0.0721362
58487.5557292 2 17.0554 0.0414133
