ZTF18acybdar 0.071300 Ia
58618.2156366 2 19.4116 0.165923
58543.3400231 2 20.0165 0.209243
58526.4921296 2 19.4104 0.172097
58526.4907407 2 19.3091 0.187326
58522.534375 2 19.1745 0.108627
58514.4232755 2 18.7766 0.092987
58514.4228125 2 18.8116 0.133546
58511.3887153 2 18.7178 0.0846206
58508.4733449 2 18.7015 0.0973388
58505.5281134 2 18.5889 0.170408
58505.5276505 2 18.5288 0.162198
58502.550706 2 18.6397 0.0818993
58502.52875 2 18.5737 0.0918983
58494.450787 2 18.135 0.0695382
58494.4409375 2 18.1025 0.0569084
58491.5311921 2 17.9953 0.0522143
58491.5307292 2 18.0067 0.0661607
58486.5070255 2 17.9871 0.0655728
58486.4854167 2 17.9911 0.0627962
58480.5449537 2 18.2204 0.0563531
58474.4942593 2 19.073 0.123892
58474.4783333 2 18.9189 0.103818
58471.5486458 2 19.8609 0.205383
58471.5399306 2 19.9017 0.170863
