ZTF18aczdetm 0.029000 Ia
58575.2809028 1 20.296 0.248407
58573.3075463 1 20.2025 0.265224
58572.2661343 1 20.007 0.25723
58560.2143056 1 19.891 0.326814
58559.3242245 1 19.9571 0.361739
58546.2636343 1 19.7636 0.194065
58543.3021065 1 19.6281 0.199663
58524.4322338 1 19.2639 0.149924
58511.4566204 1 18.4023 0.0892383
58508.5508449 1 18.2096 0.136481
58506.4862847 1 17.9188 0.108172
58503.5553935 1 17.7647 0.0784325
58494.5154051 1 16.9038 0.0498955
58494.4902778 1 16.9221 0.0418895
58491.4630556 1 16.7909 0.0449612
58491.4625116 1 16.7533 0.0496452
58487.4936458 1 16.5787 0.038283
58487.4926736 1 16.5986 0.0436962
58480.5085301 1 16.7465 0.0373321
58480.5071181 1 16.784 0.0475995
58476.553044 1 17.2615 0.0626563
58476.5520602 1 17.3185 0.0470092
58472.4717708 1 18.4448 0.115067
58472.4708102 1 18.4183 0.117018
