ZTF18aczrafz 0.021000 Ia
58510.2611111 2 17.2767 0.0619328
58510.2509375 2 17.4967 0.0837841
58509.2568403 2 17.2886 0.053824
58508.2700347 2 17.1925 0.0505617
58507.2897338 2 17.1659 0.0563196
58507.2524074 2 17.2096 0.0697214
58506.236088 2 17.0596 0.0581478
58492.285463 2 16.4306 0.057328
58490.2227083 2 16.3018 0.0306547
58490.2222338 2 16.3403 0.036257
58486.4441782 2 16.2494 0.0340281
58486.4437153 2 16.2853 0.0390517
58481.4887037 2 16.3129 0.0294794
58480.3233912 2 16.4384 0.0533604
58480.321956 2 16.5481 0.0322625
58476.4260185 2 17.2043 0.0584233
58474.3282407 2 17.9256 0.107574
