ZTF19aabyppp 0.037000 Ia
58612.172338 1 20.258 0.192411
58608.2765509 1 20.1525 0.252941
58605.2338773 1 20.3178 0.256405
58600.1903935 1 20.1164 0.154432
58597.2737731 1 20.0799 0.15741
58586.1716551 1 20.0951 0.220819
58580.2535532 1 19.7898 0.164659
58572.2571991 1 19.7315 0.211861
58567.2549537 1 19.4882 0.165115
58556.3361227 1 19.4563 0.14414
58538.3167477 1 18.8257 0.256403
58526.419838 1 18.107 0.0624874
58522.4645255 1 17.5733 0.0553112
58514.4629282 1 17.2298 0.296481
58511.4709028 1 16.86 0.03789
58511.4420139 1 16.8477 0.0427661
58508.5406366 1 16.871 0.0418915
58505.4570023 1 16.9005 0.0435225
58502.4600694 1 17.1154 0.057682
58494.4771644 1 18.5993 0.0708023
58493.5535995 1 18.8857 0.06972
58491.4751505 1 19.7339 0.167882
