ZTF19aabyppp 0.037000 Ia
58612.1915741 2 20.3435 0.204967
58608.2339352 2 20.2339 0.226962
58597.3299421 2 19.9163 0.164031
58594.3174306 2 19.722 0.267893
58586.2148495 2 19.5619 0.138459
58583.2559954 2 19.3591 0.137419
58580.2264468 2 19.2451 0.103047
58575.2342708 2 18.8968 0.311048
58572.2742824 2 19.0222 0.158817
58567.2347222 2 18.9517 0.0708386
58559.2537037 2 18.6949 0.0943265
58541.2981481 2 17.5998 0.168374
58514.4360069 2 16.7828 0.0280468
58513.4252662 2 16.8092 0.0405951
58511.3802199 2 16.6968 0.0413096
58508.4756481 2 16.7066 0.0338752
58508.4623148 2 16.7468 0.033924
58505.5267361 2 16.8174 0.0513586
58502.5264583 2 16.971 0.0522333
58494.4395718 2 18.4997 0.0725157
58493.4668403 2 18.8075 0.0704827
58491.5260764 2 19.3141 0.148855
