ZTF19aaillan 0.070000 Ia
58612.2479282 2 20.416 0.184425
58608.2712384 2 20.319 0.205256
58606.2459144 2 20.3926 0.245212
58600.277037 2 20.2179 0.164094
58597.2496528 2 20.0775 0.212321
58596.2582523 2 19.9385 0.207844
58589.2589352 2 19.7343 0.276684
58589.2497685 2 19.5256 0.208715
58586.3320255 2 19.6095 0.150453
58583.2790162 2 19.4828 0.155149
58582.2695602 2 19.7298 0.133681
58580.3447106 2 19.5702 0.167077
58580.3268287 2 19.5746 0.124939
58575.3933681 2 19.1708 0.166548
58572.3576157 2 19.1217 0.119914
58567.3618287 2 19.0128 0.113908
58556.4208681 2 18.5719 0.0799302
58540.3099537 2 17.945 0.0802667
58538.4618056 2 17.9524 0.107876
58522.5237384 2 18.5194 0.074925
