ZTF19aakozyp 0.043000 Ia
58639.2761921 2 20.3303 0.215312
58636.2272801 2 19.9505 0.176106
58633.3015509 2 19.8641 0.140868
58632.2917708 2 20.0635 0.159811
58628.2863657 2 19.7866 0.196789
58612.2302662 2 19.3795 0.127185
58606.3025231 2 19.2399 0.100435
58602.3148264 2 19.0476 0.108499
58597.360625 2 18.7584 0.109958
58591.3738657 2 18.535 0.152373
58587.3940509 2 18.2956 0.0896491
58584.3337731 2 18.2417 0.0663704
58580.3946296 2 18.1184 0.0792174
58572.3628356 2 17.9179 0.0857073
58567.3771759 2 17.8437 0.056111
58560.3786458 2 17.3833 0.0517744
58541.4813657 2 18.1281 0.0691494
58538.480463 2 19.0312 0.212717
