ZTF19aakzash 0.036500 II
58637.1804514 2 20.3714 0.204795
58634.1859491 2 20.2535 0.16221
58618.2688542 2 19.3949 0.248696
58612.1911343 2 19.1541 0.102151
58608.2132176 2 19.0733 0.0988708
58606.2440162 2 19.1795 0.0922432
58597.3331481 2 19.0888 0.102546
58597.2451042 2 19.1178 0.076297
58594.3169792 2 18.8195 0.134996
58593.2825231 2 19.0 0.173232
58592.270625 2 19.2361 0.231696
58586.2107523 2 19.0018 0.113548
58583.2564468 2 19.04 0.0920495
58582.2238889 2 19.145 0.0913121
58580.2737731 2 19.0013 0.0918969
58572.273831 2 19.0939 0.199792
58567.2342708 2 19.0522 0.079834
58560.3394097 2 18.9822 0.122198
58558.2191088 2 18.8035 0.130573
58543.3363079 2 18.9969 0.124971
58540.2647338 2 18.9952 0.108063
