ZTF19aaloqmd 0.033500 II
58642.2356134 2 19.6118 0.147072
58639.1734722 2 19.4685 0.133164
58636.2060069 2 19.3908 0.134419
58633.2034954 2 19.1543 0.127946
58628.2882755 2 19.2852 0.148611
58618.2593403 2 18.8889 0.163611
58616.169375 2 18.9999 0.118338
58606.2477315 2 18.8703 0.0679725
58606.2117361 2 18.782 0.0812051
58602.3107176 2 18.771 0.0821529
58596.2578009 2 18.7311 0.0927321
58593.3124306 2 18.7168 0.0979302
58592.2727315 2 18.6221 0.124543
58589.2602894 2 18.6394 0.104015
58589.2329861 2 18.6559 0.145216
58586.2335764 2 18.6339 0.0801843
58583.2785648 2 18.5876 0.0741302
58582.2261921 2 18.5999 0.0663098
58580.3277894 2 18.5626 0.0725547
58580.2810301 2 18.4988 0.0892578
58575.3708681 2 18.3153 0.212123
58572.2988079 2 18.4746 0.105142
58567.3187269 2 18.3755 0.0815881
58562.3563773 2 18.3926 0.128753
58559.2876389 2 18.2833 0.0982988
58558.2386343 2 18.3615 0.101545
58547.464838 2 18.4597 0.068443
58543.3731134 2 19.753 0.136414
