ZTF19aamfxby 0.010000 Ia-91T
58606.184838 2 19.4053 0.111872
58606.1771181 2 19.451 0.168705
58601.2705093 2 19.1111 0.104511
58601.2691204 2 19.2108 0.109731
58598.1617708 2 18.9857 0.0910519
58594.1661806 2 18.9676 0.134376
58581.2379167 2 18.5988 0.0941147
58581.1600231 2 18.5177 0.143299
58575.2162037 2 18.073 0.12633
58573.2423264 2 18.2261 0.0679249
58567.218206 2 18.2116 0.0541384
58567.1415046 2 18.1565 0.055596
58562.1564815 2 18.4352 0.100054
58562.1363773 2 18.3587 0.130894
58559.2286111 2 18.6152 0.097929
58559.2211458 2 18.7323 0.108934
58556.1934375 2 19.1327 0.186232
