ZTF19aamhhyo 0.080000 Ia
58612.2460185 2 20.6518 0.206312
58612.2455556 2 20.4295 0.190187
58600.2797222 2 19.9131 0.128423
58596.2614699 2 19.6808 0.172732
58596.2610069 2 19.6973 0.168016
58589.2710301 2 19.3243 0.208382
58586.317338 2 19.3227 0.148877
58586.3168866 2 19.3706 0.104262
58583.3184606 2 19.1631 0.12262
58583.3180093 2 19.3312 0.116801
58580.3585532 2 19.08 0.108651
58580.3428704 2 19.1344 0.0916194
58575.3923264 2 18.8347 0.0839839
58575.3560301 2 18.7885 0.153198
58572.3646991 2 18.679 0.135683
58572.3642361 2 18.7194 0.103802
58567.3790278 2 18.6144 0.0950843
58556.4354167 2 19.8383 0.182672
