ZTF19aamsetj 0.027510 Ic
58618.2640856 2 19.2973 0.198233
58617.2247685 2 18.9952 0.108379
58601.2630903 2 17.6519 0.0474112
58599.1459028 2 17.4935 0.0502006
58594.1652083 2 17.4086 0.0353223
58593.3275231 2 17.368 0.0565766
58591.3370718 2 17.3917 0.0522508
58589.225081 2 17.4994 0.0526583
58582.1964583 2 18.759 0.078766
58580.2148611 2 19.0784 0.113678
58575.2152315 2 18.9457 0.125972
58572.2204398 2 18.8337 0.147121
58567.2196181 2 18.6682 0.0935627
58562.153287 2 18.749 0.140461
58559.2379977 2 19.0185 0.114941
