ZTF19aamvmer 0.087730 Ia
58616.3853009 2 20.0684 0.159837
58612.3528125 2 20.0824 0.142168
58608.3688889 2 19.8048 0.10714
58606.2833449 2 19.6001 0.192103
58606.2815394 2 19.6875 0.17637
58605.3850579 2 19.6675 0.138714
58602.3027778 2 19.4934 0.168626
58602.3000231 2 19.6026 0.160286
58596.4021528 2 19.3409 0.150685
58593.3059028 2 19.2808 0.170703
58589.2441435 2 18.9279 0.18172
58586.38625 2 19.0951 0.106066
58580.4744097 2 18.755 0.0929645
58580.3711574 2 18.8768 0.12015
58580.3669792 2 18.795 0.110878
58575.4300463 2 18.7506 0.0794321
58572.4470602 2 18.7903 0.0979928
58567.5285995 2 19.0372 0.109948
