ZTF19aanbojt 0.048000 Ia
58852.4493519 2 19.8089 0.182031
58612.2041435 2 18.9835 0.155892
58608.2383102 2 18.898 0.116935
58597.3456134 2 18.1782 0.0924513
58597.3243866 2 18.2854 0.0779818
58594.1629514 2 18.3568 0.0693255
58594.1606019 2 18.0177 0.0768617
58593.2709606 2 18.7582 0.158607
58591.3421065 2 18.0249 0.113823
58591.3403009 2 17.7421 0.082037
58587.2577894 2 18.1277 0.0811605
58584.181169 2 17.9605 0.0655876
58584.1783681 2 17.8805 0.063758
58581.2417593 2 17.7135 0.0520571
58580.2180903 2 17.6545 0.0621107
58575.2216435 2 17.6123 0.0707871
58575.2184491 2 17.5239 0.084823
58572.2245833 2 17.539 0.0545594
58572.2218056 2 17.4815 0.0453641
58567.2444676 2 17.8829 0.062195
58567.2228588 2 17.798 0.0726206
58562.3410185 2 18.4317 0.122522
