ZTF19aanejfr 0.042800 Ia
58609.184838 1 19.3346 0.134522
58609.1843866 1 19.3642 0.12662
58606.1667361 1 19.2637 0.138404
58598.1923727 1 18.5051 0.0856321
58598.1919213 1 18.5237 0.0785096
58594.1934606 1 18.2018 0.105877
58592.1495602 1 17.957 0.0803798
58591.1493634 1 17.8787 0.0770467
58588.1703819 1 17.585 0.0776694
58584.2113426 1 17.3339 0.0598357
58584.2071412 1 17.2655 0.0443006
58581.2062037 1 17.1842 0.0472967
58581.1696875 1 17.1299 0.0501735
58575.2053704 1 17.054 0.06559
58575.2044329 1 17.08 0.0652522
58572.1916204 1 17.1737 0.073268
58572.1911574 1 17.1528 0.059703
58567.1705671 1 17.6733 0.0459688
58567.1696644 1 17.5371 0.0720412
58561.2311458 1 19.2877 0.32136
