ZTF19aanetjx 0.053100 Ia
58612.1957407 2 19.466 0.161285
58608.2164005 2 19.0308 0.0968407
58601.2612037 2 18.6889 0.0839664
58597.3474769 2 18.5385 0.0696357
58597.2432523 2 18.583 0.0826195
58594.1578125 2 18.5558 0.0661445
58593.2685301 2 18.5056 0.0908903
58593.2680787 2 18.4552 0.097957
58591.3583333 2 18.2438 0.149339
58587.2562616 2 18.1404 0.0645816
58584.1846065 2 18.0691 0.0587629
58582.2225347 2 18.0424 0.060177
58582.2165046 2 18.0717 0.0627569
58581.2352199 2 18.0045 0.0539474
58575.2287847 2 18.2113 0.175269
58574.2177315 2 18.163 0.237416
58574.2168171 2 18.232 0.176561
58572.2273727 2 18.4005 0.0959693
