ZTF19aanhhal 0.025970 II
58670.1961111 1 19.786 0.196101
58667.3248032 1 19.7413 0.157899
58663.2280787 1 19.7253 0.170862
58660.1864352 1 19.6033 0.158095
58657.1992477 1 19.4626 0.130533
58653.2615046 1 19.1577 0.17154
58644.2000347 1 19.0629 0.146654
58641.1868981 1 19.2304 0.104412
58638.1975 1 19.2927 0.114509
58635.2054282 1 19.2329 0.122258
58628.225081 1 19.1704 0.154952
58622.1770255 1 18.9434 0.185707
58616.2621065 1 19.0415 0.124637
58612.2882292 1 19.0343 0.087027
58606.4313889 1 18.9234 0.0976136
58601.2408565 1 18.8836 0.0698435
58596.2421644 1 18.7611 0.0834182
58592.1943403 1 18.7758 0.186133
58586.2794213 1 18.4514 0.0648971
58580.3122685 1 18.3609 0.0660228
58575.3294907 1 18.2758 0.0752705
58572.3506944 1 18.2155 0.0716777
58567.2795255 1 18.1718 0.0830613
