ZTF19aanijpu 0.050000 Ic
58716.144838 2 19.4506 0.153833
58690.1731134 2 18.3915 0.0773568
58682.2362037 2 18.4775 0.0836839
58679.1926157 2 18.5013 0.0958775
58676.208588 2 18.4333 0.100216
58671.2046181 2 18.4766 0.111758
58668.1721759 2 18.3739 0.0931288
58665.2700579 2 18.2985 0.0710966
58660.2138426 2 18.3475 0.0738716
58654.1919792 2 18.2137 0.0833173
58648.1905324 2 18.0971 0.106658
58643.2347569 2 17.9771 0.0564897
58640.2331366 2 17.8387 0.0668288
58637.2076736 2 17.7411 0.0686769
58634.2698958 2 17.6331 0.0746865
58628.2868287 2 17.523 0.062051
58616.2981019 2 17.4986 0.0539733
58612.2474653 2 17.5661 0.0643249
58606.3038773 2 17.5734 0.066699
58596.274456 2 17.7492 0.0471498
58593.3157523 2 17.8445 0.0727935
58589.2951736 2 18.0667 0.186451
58580.3559028 2 18.2842 0.101767
58575.3938426 2 18.6645 0.147727
58572.3598727 2 18.9707 0.192285
