ZTF19aaniore 0.030000 II
58682.1804398 1 20.2573 0.252867
58678.2757986 1 20.1835 0.317445
58677.3203704 1 20.2655 0.274017
58674.1951157 1 20.0494 0.175642
58671.2914583 1 20.1231 0.145653
58665.204537 1 19.9407 0.148546
58663.2229745 1 19.8687 0.186511
58662.2215278 1 19.8644 0.14264
58660.1996412 1 19.8483 0.138908
58658.2225347 1 19.7238 0.123668
58657.224375 1 19.6898 0.140679
58655.2649769 1 19.7463 0.220722
58654.2821065 1 19.6817 0.163143
58653.3210648 1 19.9482 0.241683
58650.2056944 1 19.7784 0.233894
58647.2270255 1 19.6353 0.172088
58644.1972222 1 19.5024 0.115665
58641.2056019 1 19.5761 0.118821
58638.3386343 1 19.4613 0.0979777
58635.2248495 1 19.4651 0.0879398
58632.3519676 1 19.423 0.131693
58616.2687384 1 19.2795 0.135057
58608.3013079 1 19.1734 0.0977018
58596.4513773 1 18.9889 0.101265
58586.4302315 1 18.7362 0.0609282
58580.4274537 1 18.6603 0.0760105
58575.3473843 1 18.5331 0.107627
58572.3954977 1 18.7042 0.0918614
58567.4817245 1 19.0646 0.138076
