ZTF19aaniore 0.030000 II
58691.1807407 2 19.774 0.098194
58690.1809606 2 19.6999 0.128831
58685.3374769 2 19.4762 0.13275
58684.2360532 2 19.3443 0.118354
58683.2458333 2 19.2017 0.100166
58683.2176157 2 19.191 0.109355
58681.257419 2 19.2424 0.131762
58680.2583681 2 19.3461 0.113766
58679.221331 2 19.1995 0.115835
58678.2255093 2 19.1871 0.119835
58677.2157292 2 19.1391 0.107811
58671.1961806 2 18.9987 0.0795195
58668.3256713 2 18.9576 0.0728181
58665.3514583 2 18.9003 0.0910347
58663.3238079 2 18.8466 0.0876759
58662.2449074 2 18.8754 0.0777723
58661.3210301 2 18.8345 0.0901888
58657.3666782 2 18.8011 0.115783
58655.2204398 2 18.7394 0.0922323
58654.2188194 2 18.713 0.0624647
58653.1984375 2 18.8689 0.0912736
58650.2835995 2 18.7209 0.0755911
58647.2635185 2 18.6916 0.0622772
58644.2878704 2 18.746 0.0610324
58641.3227894 2 18.6747 0.0455629
58638.2584144 2 18.7278 0.0596769
58635.2777315 2 18.7647 0.0524212
58632.2955093 2 18.6569 0.0637074
58627.3927662 2 18.595 0.0588413
58619.34375 2 18.5988 0.108775
58616.3718634 2 18.6268 0.0759938
58612.4304745 2 18.6209 0.0437743
58608.3706944 2 18.6541 0.0885067
58605.4110995 2 18.5805 0.0537222
58596.3214236 2 18.5439 0.0589389
58586.3495602 2 18.4843 0.0709889
58583.3216782 2 18.5605 0.072661
58580.472581 2 18.5191 0.0615018
58575.424537 2 18.5545 0.0597575
58572.4652199 2 18.6076 0.0678597
58567.5304977 2 19.289 0.109873
