ZTF19aanircs 0.060000 Ia
58660.246412 2 20.5346 0.194161
58653.2190162 2 20.4748 0.297354
58647.2621644 2 20.2731 0.242244
58644.287419 2 20.1072 0.17714
58641.3007523 2 20.0892 0.134146
58638.2775 2 19.9117 0.137438
58635.2772801 2 19.7953 0.130218
58632.2959606 2 19.9125 0.167719
58627.3702315 2 19.5581 0.125519
58619.3451042 2 19.0762 0.174848
58616.371412 2 19.0053 0.102545
58612.4300231 2 18.948 0.0893402
58608.3702431 2 18.7661 0.0775377
58605.3841319 2 18.7304 0.0817069
58596.4017014 2 18.4537 0.0796177
58586.3899769 2 17.9986 0.0540465
58580.4721296 2 18.0574 0.0559554
58575.4480208 2 18.3499 0.0576474
58572.4656713 2 18.6942 0.0783456
58567.5309491 2 20.0604 0.266265
