ZTF19aanjjhk 0.064000 Ia
58608.2104398 2 19.1902 0.183316
58601.2543403 2 19.2029 0.162178
58601.2538889 2 19.1874 0.134237
58598.1412731 2 19.2273 0.123844
58592.2466667 2 18.7984 0.196408
58587.2927199 2 18.737 0.149711
58587.2543981 2 18.6971 0.11739
58584.1686111 2 18.6249 0.114502
58584.1677083 2 18.5337 0.0923779
58581.2320255 2 18.5268 0.0722483
58581.2306597 2 18.4085 0.0814572
58573.252338 2 18.4298 0.0948601
58573.2322454 2 18.4734 0.103879
58568.2748032 2 18.7158 0.10345
58568.2738889 2 18.7816 0.0885413
