ZTF19aanovps 0.035000 II
58668.1977546 1 20.262 0.160417
58665.2013657 1 20.1338 0.166469
58662.2196875 1 20.2378 0.209582
58655.2622338 1 20.0252 0.316211
58654.2835417 1 20.1512 0.337135
58645.2391667 1 19.9915 0.234825
58642.3055093 1 19.971 0.162385
58639.2685301 1 19.9592 0.161831
58636.2838194 1 20.057 0.145588
58633.2643171 1 20.0042 0.176904
58608.3032176 1 19.5177 0.111359
58597.3045255 1 19.3293 0.126681
58594.2843403 1 18.8908 0.166309
58591.2387731 1 19.2927 0.224037
58587.3637616 1 18.9405 0.130147
58584.2813542 1 18.9862 0.115258
58581.3260532 1 18.888 0.0985616
58573.3230787 1 18.8332 0.0884177
