ZTF19aanpcep 0.031400 II
58635.2566204 2 20.1815 0.129759
58632.264838 2 20.0503 0.158589
58617.2870602 2 19.7225 0.185535
58612.3421065 2 19.5881 0.090411
58606.3189005 2 19.5613 0.105716
58606.2650116 2 19.4903 0.136834
58602.2896065 2 19.4894 0.128596
58596.2794329 2 19.1503 0.130906
58593.3054282 2 18.8852 0.123942
58592.3093056 2 18.7985 0.148046
58589.2381134 2 18.4125 0.15924
58586.3393981 2 18.2353 0.0552298
58583.3472338 2 18.1184 0.0730012
58580.3848958 2 18.0535 0.050861
58580.3328472 2 18.057 0.0492114
58575.407338 2 18.1902 0.0542512
58572.4242245 2 18.4539 0.077967
