ZTF19aanuhox 0.060000 Ia
58644.33125 2 20.3438 0.209168
58641.4100347 2 20.1972 0.148509
58635.3728819 2 20.0325 0.147163
58632.3216898 2 19.8834 0.163885
58627.3871875 2 19.6936 0.124136
58618.2325579 2 19.1281 0.101064
58616.4101042 2 19.0761 0.0791143
58612.4687963 2 18.9029 0.0729148
58608.3911227 2 18.836 0.0760922
58606.3108796 2 18.7556 0.0676137
58605.4342014 2 18.8106 0.0802409
58596.4090741 2 18.397 0.0691858
58593.3312847 2 18.1727 0.0578511
58591.455463 2 18.112 0.0711913
58589.2907176 2 17.8735 0.147897
58587.4307639 2 18.0217 0.0732386
58584.4086458 2 17.9831 0.0610118
58580.520706 2 18.1439 0.090799
58580.4684028 2 18.1559 0.0707892
58575.4448148 2 18.8203 0.072284
58574.3315162 2 19.0018 0.187596
58572.4688889 2 19.8515 0.148173
