ZTF19aanuuen 0.070100 Ia
58608.3156366 1 20.1586 0.172061
58600.3968171 1 19.4684 0.102292
58597.4620718 1 19.3305 0.106395
58597.461169 1 19.3149 0.116199
58594.2750231 1 18.9456 0.2206
58592.4544907 1 18.8748 0.154574
58591.2526505 1 18.5708 0.176803
58587.3580093 1 18.6686 0.15611
58584.4466667 1 18.3644 0.0700055
58583.3969213 1 18.3587 0.0770136
58581.4616667 1 18.3926 0.0715163
58580.4574653 1 18.3568 0.0806144
58575.4834838 1 18.6809 0.0997858
58575.4816088 1 18.6857 0.0779995
58572.4808912 1 19.2038 0.102603
