ZTF19aanuuen 0.070100 Ia
58641.2742014 2 20.2202 0.156943
58638.2704977 2 20.2833 0.176818
58635.2902662 2 20.1559 0.176042
58632.3038889 2 20.2149 0.202016
58616.3588657 2 19.4325 0.142976
58612.3360301 2 19.238 0.0948358
58608.3378472 2 19.1235 0.134009
58605.3779745 2 19.0065 0.100694
58597.3805903 2 18.8415 0.114132
58597.3801389 2 18.8373 0.082308
58591.3977431 2 18.5018 0.122961
58587.3784144 2 18.3579 0.121611
58586.3769676 2 18.3003 0.0685798
58584.3933681 2 18.3936 0.0927128
58583.3341551 2 18.3652 0.0739804
58572.4573148 2 19.3352 0.103516
