ZTF19aanxosu 0.080000 Ia
58632.3435417 1 20.9774 0.44751
58616.4514583 1 20.3159 0.206203
58616.2796759 1 19.9007 0.209104
58612.3881944 1 20.8428 0.275632
58612.2965278 1 19.7878 0.136476
58608.2966898 1 19.5297 0.161428
58600.394213 1 18.8168 0.082734
58596.4416435 1 18.5179 0.0912118
58592.4521875 1 18.2823 0.0972533
58586.439537 1 18.4341 0.0896081
58583.3801273 1 18.4947 0.091457
58583.37875 1 18.5717 0.110707
58580.4551273 1 18.7984 0.125528
58580.4168403 1 18.8463 0.0958937
58575.4862616 1 19.7946 0.157592
58575.4848843 1 19.7893 0.183454
