ZTF19aanxosu 0.080000 Ia
58657.2599421 2 20.4165 0.208893
58650.2564931 2 20.2305 0.354301
58647.2574653 2 20.3474 0.334107
58644.2782176 2 20.6023 0.294011
58641.3139699 2 20.1619 0.186538
58641.3127894 2 20.1679 0.16224
58638.2868866 2 20.2805 0.192303
58638.2658333 2 20.0532 0.198589
58635.2851736 2 20.0767 0.151948
58635.2847106 2 20.1127 0.19223
58632.3010648 2 19.9336 0.204159
58632.274456 2 19.9461 0.170169
58628.3138657 2 19.6065 0.14479
58618.2209144 2 19.3031 0.132893
58617.2710069 2 19.2281 0.131654
58616.3795139 2 19.164 0.0984825
58616.3616898 2 19.2605 0.114736
58608.3596181 2 18.8685 0.107387
58606.3654514 2 18.7975 0.0914926
58606.281088 2 18.792 0.0876075
58605.3813079 2 18.7676 0.0868213
58602.2995718 2 18.6774 0.0935185
58596.3148958 2 18.3485 0.0912741
58596.3144329 2 18.3784 0.0676126
58593.3298958 2 18.2924 0.0855211
58589.3390741 2 18.3692 0.140066
58586.3806481 2 18.4104 0.0965542
58586.3384722 2 18.4006 0.0853615
58583.3481481 2 18.6364 0.106977
58580.3895486 2 18.9363 0.102919
58580.3890972 2 18.9969 0.092243
58575.4351736 2 19.7901 0.204861
58572.4540162 2 20.464 0.240785
58572.4526389 2 20.5036 0.284197
