ZTF19aaohyqj 0.100000 Ia
58612.1746528 1 20.7647 0.262293
58608.207963 1 20.2235 0.189292
58608.2075116 1 20.1697 0.173774
58605.2343287 1 20.0113 0.193444
58605.2113657 1 20.0445 0.169087
58601.2290856 1 19.6045 0.123421
58601.2286227 1 19.5955 0.114076
58597.2541088 1 19.3598 0.092516
58597.2536458 1 19.3444 0.133882
58591.1896296 1 19.1137 0.238148
58591.1839583 1 19.2176 0.216344
58586.1712037 1 18.9291 0.132413
58586.1698032 1 18.7999 0.108613
58585.2013657 1 18.8601 0.121109
58580.2326736 1 19.1207 0.110319
58580.2321991 1 19.1583 0.128282
58580.2051736 1 19.1107 0.155382
58575.2745949 1 19.8331 0.152118
58575.2741435 1 19.9955 0.180765
