ZTF19aapafqd 0.032100 II
58705.1805787 2 19.2828 0.164055
58700.1805556 2 19.3202 0.112613
58697.1740972 2 19.2559 0.110336
58691.2069213 2 19.0938 0.103555
58684.18125 2 18.9445 0.0967879
58681.2658796 2 18.9491 0.178584
58678.2264931 2 18.9194 0.0906072
58675.2396875 2 18.8263 0.105151
58672.21625 2 18.8787 0.1066
58669.3183796 2 18.7754 0.0896089
58666.2636111 2 18.7256 0.0937489
58663.3122338 2 18.656 0.0769426
58660.2450347 2 18.6698 0.0988617
58657.2632639 2 18.6322 0.085469
58653.2035185 2 18.5342 0.101604
58650.2711227 2 18.4884 0.10693
58647.2612616 2 18.4775 0.121088
58647.2574653 2 18.4892 0.0880182
58644.2856134 2 18.4285 0.079385
58641.3054167 2 18.4468 0.0739413
58638.2798495 2 18.4127 0.0719507
58635.280081 2 18.3742 0.0781659
58632.2978125 2 18.3289 0.0823847
58619.3460069 2 18.3434 0.100515
58616.3700231 2 18.3366 0.0833686
58612.3541667 2 18.4226 0.102341
58608.3693403 2 18.5061 0.0853072
58605.3855093 2 18.5853 0.0744947
58596.3153472 2 19.1941 0.1428
58596.3148958 2 19.2029 0.137366
58586.3834375 2 19.7925 0.199502
58580.3881829 2 20.0581 0.200923
58575.4319097 2 20.7647 0.269767
58572.449838 2 20.5724 0.324587
