ZTF19aapbfot 0.030000 II
58666.2099884 1 20.6308 0.25199
58660.2043519 1 20.2979 0.188466
58657.2137269 1 20.4254 0.209311
58655.3129051 1 20.1634 0.37342
58647.215463 1 20.1436 0.269784
58645.2215046 1 20.1291 0.213474
58644.2130787 1 19.9815 0.192554
58641.233588 1 20.0477 0.275629
58638.3493634 1 19.8828 0.166835
58635.2160069 1 19.9751 0.12765
58632.3426042 1 19.837 0.150007
58608.2951968 1 19.371 0.108725
58600.3914699 1 19.1077 0.0861571
58597.4647917 1 18.9691 0.105631
58586.4163194 1 18.7589 0.068717
58583.3778356 1 18.8608 0.113499
