ZTF19aapbgmp 0.080000 Ia
58644.4661574 2 20.1124 0.214783
58638.4665394 2 19.9123 0.142476
58635.3889583 2 19.8614 0.200074
58632.466875 2 19.6009 0.154539
58627.4064468 2 19.3943 0.17059
58619.4274884 2 18.9049 0.250948
58616.4290046 2 18.8966 0.088309
58608.4724884 2 18.5405 0.0942542
58605.455081 2 18.4547 0.0793491
58596.4209954 2 18.0178 0.0606249
58593.3530671 2 17.9368 0.079116
58591.4480556 2 17.9378 0.0703758
58587.516088 2 18.0075 0.114568
58584.5158449 2 18.2819 0.0735476
58580.5038426 2 18.7286 0.088752
