ZTF19aapocyd 0.060000 Ia
58644.2860648 2 19.8392 0.174344
58638.2593056 2 19.5662 0.145479
58632.296412 2 19.0457 0.117724
58627.3683565 2 18.8819 0.0905644
58618.2283449 2 18.6688 0.0976742
58617.2842477 2 18.732 0.0970315
58616.3853009 2 18.6405 0.0816328
58612.3528125 2 18.4972 0.0717132
58608.3688889 2 18.3356 0.089932
58606.2833449 2 18.1922 0.0701169
58605.3850579 2 18.1013 0.0648915
58602.3027778 2 17.9605 0.051337
58596.4021528 2 17.9319 0.0630175
58593.3063657 2 18.0203 0.0548724
58589.2893519 2 18.1829 0.147338
58586.38625 2 18.8077 0.139024
