ZTF19aaqcqkv 0.075000 Ia
58660.2218171 2 20.5711 0.195886
58657.2689005 2 20.2568 0.231042
58654.1962384 2 20.1652 0.180676
58648.1928819 2 20.0184 0.247867
58642.2342477 2 19.7321 0.125657
58639.1804977 2 19.4935 0.0950643
58636.2216319 2 19.4426 0.100554
58633.1984259 2 19.2856 0.1153
58628.3255787 2 19.1389 0.104336
58618.2176736 2 18.8689 0.0933786
58616.1702894 2 18.832 0.0894216
58608.2597569 2 18.2866 0.0690391
58606.269838 2 18.2413 0.0669016
58606.2131481 2 18.2593 0.0578781
58597.3512616 2 18.2384 0.0634845
58594.3329167 2 18.412 0.103751
58593.2900463 2 18.4993 0.094727
58591.382581 2 18.672 0.112482
58587.3073843 2 20.0194 0.18597
