ZTF19aaraxhh 0.041290 Ia
58642.2592014 2 19.4489 0.126116
58642.2587037 2 19.3482 0.122247
58639.2814583 2 19.3461 0.110156
58636.2197454 2 19.0058 0.097933
58633.3065856 2 18.8044 0.0686202
58633.3048958 2 18.9175 0.106054
58619.2004745 2 18.5051 0.178411
58616.174919 2 18.4055 0.0788563
58616.1608449 2 18.3857 0.0665094
58612.2366551 2 18.0302 0.07634
58612.2201157 2 18.0882 0.0511284
58606.2777778 2 17.949 0.0753694
58606.2023958 2 17.8759 0.0570624
58602.2799769 2 17.8476 0.0772306
58592.2610532 2 19.4991 0.215803
