ZTF19aarifvr 0.071000 Ia-91T
58660.2218171 2 20.087 0.147354
58657.2689005 2 19.7539 0.148556
58654.1962384 2 19.769 0.15814
58651.2480787 2 19.764 0.202057
58648.1928819 2 19.5718 0.2045
58642.2342477 2 19.0913 0.0852671
58639.1804977 2 19.0424 0.0980135
58636.2216319 2 18.9631 0.0929649
58633.1984259 2 18.8942 0.08007
58628.3255787 2 18.8571 0.0781803
58618.2176736 2 18.4081 0.08192
58616.1702894 2 18.277 0.0798984
58608.2597569 2 18.0546 0.0823869
58606.269838 2 18.1219 0.0705816
58606.2131481 2 18.1277 0.0606276
58602.2649769 2 17.9578 0.234441
58597.3512616 2 18.8146 0.0814252
58594.3329167 2 19.6004 0.206104
