ZTF19aarprog 0.053764 Ia
58653.2081597 2 19.0509 0.116285
58647.2726968 2 18.6809 0.118583
58644.2735417 2 18.6305 0.109727
58641.293287 2 18.4225 0.099234
58638.269537 2 18.2929 0.074507
58635.2884606 2 18.1745 0.0625827
58632.333287 2 18.1377 0.0763587
58618.2343634 2 17.5111 0.0620121
58616.3784722 2 17.4694 0.0605898
58612.4225347 2 17.4352 0.0598486
58608.3392361 2 17.5862 0.0572883
58606.2919907 2 17.6915 0.0552552
58605.3989005 2 17.7341 0.0544836
58602.3041319 2 18.0828 0.0594188
58597.4353704 2 19.3728 0.108284
