ZTF19aatgsdl 0.080000 Ia
58661.2007523 2 19.8063 0.197301
58658.1840856 2 19.7869 0.126547
58654.1813542 2 19.5895 0.1963
58651.236088 2 19.5884 0.238422
58648.1956597 2 19.4238 0.210507
58642.2155671 2 19.222 0.104924
58639.1823843 2 19.1513 0.104573
58633.1713194 2 18.8777 0.0859471
58619.1958333 2 18.2727 0.192013
58616.1533333 2 18.5021 0.102421
58612.1962384 2 18.6072 0.0858465
58608.2359491 2 18.8174 0.0853719
58606.2426505 2 19.1006 0.0997011
58602.2589931 2 20.1456 0.23183
58601.2835995 2 20.3501 0.2402
