ZTF19aatlqdf 0.078500 II
58692.1773032 2 19.2318 0.304372
58689.1758912 2 19.309 0.136733
58681.2424653 2 19.1766 0.152698
58678.207662 2 19.1157 0.11693
58675.2354861 2 19.0219 0.130382
58672.1952199 2 19.1122 0.115002
58669.1865856 2 19.1074 0.113655
58666.1733333 2 18.9725 0.101706
58663.1933912 2 18.9583 0.0881787
58660.2133912 2 19.0104 0.0715222
58654.1901505 2 19.0206 0.10296
58651.2521875 2 19.122 0.189452
58648.2102315 2 18.9252 0.221175
58645.2755324 2 18.8891 0.120688
58642.2545023 2 18.9282 0.1003
58639.2757407 2 18.87 0.0823254
58636.2277315 2 18.8162 0.0931356
58633.3010995 2 18.8053 0.0895313
58628.2859144 2 18.7739 0.0911862
58619.3188194 2 18.6902 0.284627
58618.2380556 2 18.7239 0.0977233
58616.2967245 2 18.7623 0.0946682
58612.3388079 2 18.776 0.10617
58608.2689815 2 18.9911 0.125632
58606.3029745 2 19.0468 0.104622
58606.2589699 2 19.1406 0.102415
58602.2872338 2 19.9978 0.240107
58601.3072685 2 20.634 0.282652
