ZTF19aatqzim 0.050070 II
58668.1877778 2 19.8725 0.157683
58665.2682523 2 19.6326 0.143989
58660.2222685 2 19.5461 0.109134
58657.2684491 2 19.4117 0.130788
58650.2473495 2 19.3463 0.137661
58644.2593981 2 19.2494 0.139645
58641.2801389 2 19.2254 0.127339
58638.2217361 2 19.156 0.0883156
58635.2444792 2 19.051 0.0792409
58632.2694907 2 18.9747 0.144859
58628.3036806 2 18.8426 0.112078
58618.2176736 2 18.6836 0.0873872
58616.1825463 2 18.6721 0.0951555
58612.2242477 2 18.7265 0.0863331
58608.2597569 2 19.3556 0.128839
