ZTF19aaugaam 0.050000 II
58692.1995486 1 19.7446 0.170343
58686.1709954 1 19.8799 0.29481
58683.179294 1 19.7636 0.174168
58679.1712384 1 19.8201 0.301844
58676.1717708 1 19.5915 0.26054
58670.2085185 1 19.6324 0.157008
58667.1940741 1 19.4835 0.131181
58661.2145486 1 19.2408 0.107917
58658.2075694 1 19.1741 0.0993022
58654.253669 1 19.1391 0.128808
58651.1896991 1 18.7709 0.148487
58642.1937847 1 18.5596 0.0636593
58639.2344792 1 18.4187 0.0740764
58633.2504167 1 18.0887 0.0602762
58617.1945139 1 17.9831 0.0823161
58612.2518519 1 18.163 0.0777567
