ZTF19aaugaam 0.050000 II
58692.1662269 2 18.5001 0.124076
58686.1669907 2 18.532 0.101618
58679.191713 2 18.4748 0.13005
58676.1910417 2 18.4494 0.0923875
58667.2146181 2 18.4206 0.0804973
58661.1941319 2 18.3282 0.0637211
58658.1754398 2 18.2532 0.0671326
58654.1924421 2 18.2555 0.066739
58651.2324074 2 18.2122 0.0989364
58648.1909954 2 18.0715 0.0721271
58642.2255903 2 18.0317 0.0551407
58639.1721181 2 18.0009 0.0576932
58636.2037153 2 18.0297 0.0583163
58633.2057523 2 18.0316 0.060661
58617.2530208 2 18.2236 0.0867
58612.2492824 2 18.4609 0.0784635
