ZTF19aauishy 0.022600 II
58715.1578472 1 20.1412 0.326165
58692.1936227 1 19.6863 0.165114
58685.1837847 1 19.626 0.149586
58682.170162 1 19.675 0.200955
58670.1937963 1 19.6235 0.151021
58667.1950694 1 19.5902 0.110644
58663.2294329 1 19.5063 0.116899
58657.1954861 1 19.5053 0.162642
58654.2584375 1 19.4633 0.173112
58651.1715162 1 19.4609 0.275075
58648.1833218 1 19.318 0.159473
58645.2356481 1 19.3899 0.126546
58642.2006829 1 19.3504 0.145572
58639.2382407 1 19.2726 0.0943965
58636.2568981 1 19.175 0.0946055
58633.2448264 1 19.0433 0.08653
58619.253669 1 18.6954 0.182307
58616.234375 1 18.9284 0.119245
58612.2920023 1 19.2608 0.110788
