ZTF19aaujzqh 0.042600 Ia
58723.1414699 2 20.1144 0.243141
58707.1815625 2 19.8285 0.186849
58704.1872338 2 19.6582 0.137936
58700.1819329 2 19.6053 0.107893
58691.1793403 2 19.2676 0.119908
58684.1807986 2 19.0676 0.100882
58681.2630787 2 18.9953 0.115284
58678.1991319 2 18.8987 0.0837911
58675.256713 2 18.7837 0.0942737
58672.2167014 2 18.6432 0.0658527
58669.318831 2 18.543 0.0668262
58666.266875 2 18.344 0.0617019
58663.3112963 2 18.1023 0.0661672
58660.2459606 2 18.0188 0.0655276
58657.371412 2 17.8741 0.055806
58653.1993403 2 17.7853 0.0755278
58650.2692824 2 17.738 0.050293
58647.261713 2 17.6661 0.0631118
58644.2860648 2 17.5744 0.0602045
58641.3012037 2 17.3862 0.041309
58638.2593056 2 17.2021 0.0471549
58635.2768287 2 17.114 0.0516461
58632.296412 2 17.0642 0.0457192
58627.3683565 2 17.1424 0.045366
58619.3455556 2 17.966 0.0813442
58618.2200116 2 18.2459 0.0743838
58616.3853009 2 18.8411 0.0946521
