ZTF19aaupkev 0.090000 Ia
58684.1831019 2 20.2673 0.181192
58678.1977199 2 19.9688 0.222942
58675.2373611 2 19.988 0.264613
58672.2002315 2 19.7638 0.153404
58669.1786343 2 19.6824 0.181947
58666.2626736 2 19.474 0.118628
58663.2022801 2 19.2409 0.0976171
58660.2250579 2 19.2656 0.0803492
58657.2609144 2 19.2176 0.128151
58653.1970486 2 19.0555 0.127343
58650.2637384 2 18.9292 0.0922371
58647.2439236 2 18.9135 0.0876807
58644.2656019 2 18.7869 0.0871298
58641.2848032 2 18.6222 0.0608349
58638.2360301 2 18.4252 0.074156
58635.2566204 2 18.359 0.0633643
58632.264838 2 18.3741 0.0701962
58618.2251505 2 19.1851 0.103203
58617.2833218 2 19.5646 0.13536
