ZTF19aavhypb 0.068000 Ia
58685.1940972 1 20.8079 0.271043
58673.3028472 1 20.4128 0.239918
58673.3010417 1 20.2769 0.219429
58670.1951852 1 20.1491 0.193573
58667.3271412 1 19.9173 0.241184
58667.3234028 1 19.9654 0.15579
58663.2211111 1 19.5941 0.163261
58663.2201736 1 19.613 0.130509
58660.1964352 1 19.3999 0.133236
58660.1845718 1 19.4386 0.0912152
58657.2029167 1 19.135 0.131701
58657.2001968 1 19.0019 0.0748213
58653.2900116 1 18.8133 0.131703
58653.2619907 1 18.7701 0.104493
58650.2255208 1 18.4907 0.110757
58650.1998611 1 18.5283 0.104993
58644.203287 1 18.0441 0.0715543
58644.201875 1 18.1162 0.071798
58641.2070255 1 17.9324 0.0634324
58641.2037384 1 17.9549 0.06605
58638.3286574 1 17.8501 0.0625431
58638.1937963 1 17.8326 0.0558943
58635.2285648 1 17.8176 0.0421926
58635.22625 1 17.805 0.0568821
58632.3472454 1 17.9383 0.0555799
