ZTF19aavidqf 0.098000 Ia-91T
58691.2018519 2 20.2404 0.167809
58690.3475 2 20.423 0.228286
58685.3412847 2 20.1081 0.218992
58684.2398495 2 20.0306 0.235157
58684.1794213 2 19.9955 0.207942
58683.2496296 2 20.0745 0.272103
58681.2617014 2 19.706 0.203874
58679.2415278 2 19.8889 0.258591
58678.2423611 2 19.8497 0.261859
58678.2409838 2 19.7295 0.160534
58677.2626505 2 19.7236 0.181401
58675.2788194 2 19.5797 0.123584
58669.3216088 2 19.4662 0.129995
58668.3302431 2 19.4406 0.109356
58666.352338 2 19.3189 0.107429
58665.3476157 2 19.3115 0.138841
58663.3320255 2 19.2819 0.118285
58663.3251968 2 19.2228 0.0824074
58661.3239815 2 19.1374 0.101837
58660.3259028 2 19.0825 0.121209
58657.3919676 2 18.8805 0.104244
58657.3618981 2 18.8885 0.0943562
58655.2176736 2 18.7798 0.108062
58654.3873264 2 18.8392 0.113449
58653.4100116 2 18.6887 0.103715
58653.409537 2 18.7613 0.114975
58650.3459606 2 18.676 0.115774
58650.3014699 2 18.6731 0.0966909
58647.303831 2 18.5576 0.0783787
58647.2983218 2 18.5477 0.091019
58644.33125 2 18.5478 0.075211
58644.3303125 2 18.5561 0.081014
58641.4119213 2 18.5759 0.074105
58641.4100347 2 18.5652 0.0737406
58638.2993866 2 18.666 0.0706117
58638.2812731 2 18.7143 0.079515
58635.3728819 2 18.8508 0.0669951
58635.3706019 2 18.8246 0.084388
58632.3216898 2 19.191 0.119061
58632.3203125 2 19.1316 0.0958744
58627.3871875 2 20.1174 0.230252
58627.3853704 2 20.1983 0.223875
