ZTF19aavivbl 0.090000 Ia
58678.4663657 2 20.6228 0.168227
58668.3514815 2 20.3035 0.153348
58665.4301852 2 20.2673 0.185309
58663.3479167 2 20.0144 0.129892
58662.3312731 2 20.0357 0.125623
58661.3423958 2 19.9211 0.147628
58658.3892477 2 19.6371 0.114022
58657.4083218 2 19.5438 0.114129
58655.3572338 2 19.4862 0.14058
58654.401088 2 19.522 0.158298
58653.4076505 2 19.4252 0.13904
58650.3491898 2 19.2841 0.124693
58647.3212037 2 19.216 0.0933028
58644.468912 2 19.0517 0.0792147
58641.4687384 2 18.8331 0.0488087
58638.4674769 2 18.7633 0.0681544
58635.4122454 2 18.8049 0.0516801
58632.4678009 2 18.9143 0.0716326
58627.4059722 2 19.68 0.130954
