ZTF19aavnwxf 0.046900 Ia
58673.1831944 1 19.7449 0.217703
58668.1946412 1 19.527 0.147778
58667.2051157 1 19.4162 0.122419
58665.1961806 1 19.1253 0.119257
58661.2198611 1 18.7542 0.0905454
58660.1878704 1 18.669 0.0861442
58658.2020602 1 18.3971 0.069883
58657.1978241 1 18.3323 0.0699027
58654.2373958 1 18.0382 0.0615442
58653.281412 1 17.9389 0.0713266
58651.177581 1 17.7692 0.0606773
58648.1804745 1 17.5809 0.052127
58645.2082986 1 17.4795 0.0456974
58642.2051389 1 17.4477 0.0499795
58641.1879167 1 17.4385 0.0533343
58639.2179745 1 17.5714 0.0631518
58638.1988542 1 17.6928 0.0510911
58636.2625231 1 17.9102 0.0595602
58635.2044907 1 18.1573 0.0666113
58633.2392361 1 18.6132 0.082724
58632.1917708 1 18.9546 0.0952194
