ZTF19aavrswr 0.035000 Ia
58692.1763889 2 19.3359 0.166133
58689.1749769 2 19.4538 0.14155
58680.233287 2 18.9364 0.146989
58677.2148264 2 18.8634 0.126312
58674.2228241 2 18.7119 0.104949
58671.2069329 2 18.484 0.105329
58668.1739815 2 18.1998 0.0705129
58661.1909722 2 17.8694 0.0528479
58658.2344676 2 17.806 0.040118
58655.1916667 2 17.6778 0.0693989
58649.2320255 2 17.2166 0.057107
58645.2737269 2 17.2002 0.0492389
58642.2526968 2 17.3032 0.0450736
58639.2739352 2 17.6434 0.0533202
58636.2104282 2 18.3653 0.0633869
58633.2958102 2 19.3454 0.105729
