ZTF19aawmkja 0.040000 Ia
58694.3199306 1 19.9999 0.208469
58693.277419 1 19.9218 0.188934
58685.3701505 1 19.6823 0.171519
58679.3018056 1 19.6703 0.273486
58678.3183449 1 19.4891 0.164023
58677.3460417 1 19.4491 0.145798
58674.3461806 1 19.2874 0.112901
58674.3457292 1 19.0364 0.103481
58668.2853588 1 18.6008 0.084412
58668.2825463 1 18.4829 0.0944351
58665.2365972 1 18.2511 0.0710568
58665.2201852 1 18.3409 0.0729918
58663.4453935 1 18.1364 0.0855767
58663.4449421 1 17.9946 0.0824662
58660.347338 1 17.756 0.0604174
58660.3468866 1 17.7788 0.0522251
58658.4470486 1 17.5794 0.0518656
58658.4465972 1 17.6429 0.0462881
58655.3045949 1 17.4491 0.0557547
58655.289294 1 17.4139 0.0519018
58654.3221296 1 17.3419 0.0544324
58654.3216782 1 17.3948 0.044956
58653.3673611 1 17.3771 0.0440065
58653.3669097 1 17.2892 0.051365
58650.4657986 1 17.247 0.0442155
58650.4461343 1 17.2248 0.0419125
58647.3849653 1 17.2729 0.043572
58647.3845139 1 17.2169 0.0403886
58644.4326968 1 17.3072 0.04632
58644.348287 1 17.3662 0.045282
58641.4281713 1 17.6177 0.0579575
58641.4277199 1 17.6593 0.0562291
58638.3689468 1 18.221 0.0570092
58638.3684954 1 18.2381 0.064505
58635.4492477 1 19.5358 0.160863
