ZTF19aawnqoj 0.070000 Ia
58695.222338 2 19.4396 0.177301
58692.1748032 2 19.2873 0.191253
58689.1733912 2 18.9983 0.112056
58686.2966782 2 19.3661 0.138472
58674.2237269 2 18.9273 0.121182
58671.2078356 2 18.8516 0.108276
58668.1748843 2 18.7969 0.102328
58661.1905208 2 18.5224 0.0952516
58658.2340162 2 18.2912 0.0605163
58655.1921296 2 18.2216 0.0690501
58652.2926968 2 18.1146 0.0654596
58645.2950694 2 18.2982 0.0736231
58642.2718056 2 18.5481 0.0650521
58639.2730324 2 18.9833 0.10181
58636.2113426 2 19.8014 0.188379
