ZTF19aawqckx 0.034000 Ia
58711.2133565 1 20.1585 0.354712
58710.2139815 1 19.9082 0.291522
58706.2280324 1 19.9608 0.26746
58703.3109838 1 20.2249 0.210127
58702.310544 1 20.3102 0.231656
58701.3113542 1 20.2041 0.184119
58700.3077662 1 20.214 0.157947
58699.3112037 1 20.2707 0.204913
58697.3282755 1 20.1098 0.194634
58696.3089931 1 20.2177 0.19315
58693.266794 1 20.1661 0.18139
58688.3285532 1 19.8683 0.216456
58685.3654051 1 19.822 0.200522
58684.2669213 1 19.5711 0.195714
58682.2018171 1 19.6899 0.171395
58680.1995255 1 19.5211 0.244856
58679.2907639 1 19.4348 0.199078
58677.3473958 1 19.3697 0.158078
58674.3209954 1 19.1491 0.104521
58665.2394213 1 18.0967 0.0673539
58663.4727431 1 17.8709 0.0650546
58662.436412 1 17.8212 0.0498612
58655.2873727 1 17.1925 0.0503116
58654.3061227 1 17.1709 0.0421284
58651.4537037 1 17.033 0.0419527
58648.3714815 1 17.0692 0.0438069
58645.2428819 1 17.2886 0.0487864
58639.4230324 1 18.5329 0.0853283
58636.4442593 1 20.0418 0.145403
