ZTF19aawrumx 0.060000 Ia
58701.2970023 2 20.2825 0.202105
58700.2933912 2 20.2584 0.148864
58699.2968403 2 20.2138 0.220787
58698.2967477 2 20.0741 0.258384
58696.2943519 2 20.1432 0.16199
58695.2932292 2 20.0696 0.19661
58694.3500579 2 19.8604 0.16437
58693.3528241 2 20.1193 0.14696
58692.3420602 2 20.119 0.17794
58691.367581 2 19.9084 0.168949
58690.3675116 2 19.8682 0.133788
58688.3681019 2 19.8514 0.134394
58685.3537963 2 19.5995 0.130755
58684.2518866 2 19.5736 0.211417
58683.2617824 2 19.4912 0.122759
58683.2330671 2 19.4303 0.13288
58682.2779282 2 19.4086 0.123741
58680.2792014 2 19.3472 0.163566
58679.2360185 2 19.2276 0.112964
58678.2198495 2 19.1791 0.10022
58677.3071528 2 19.2365 0.10977
58674.3110648 2 19.1999 0.0908266
58668.3477546 2 19.079 0.0714192
58665.429294 2 19.0294 0.0751335
58663.3470139 2 18.9312 0.097828
58661.3432986 2 18.7989 0.0859441
58658.4067477 2 18.6485 0.0626633
58657.4096991 2 18.6481 0.0721344
58655.3695718 2 18.4509 0.0754818
58655.3577083 2 18.5173 0.080524
58654.4308796 2 18.4581 0.0740848
58654.4164583 2 18.4904 0.0783848
58652.4320949 2 18.4446 0.0935892
58649.3030671 2 18.3909 0.0862601
58639.3277546 2 19.1493 0.0875427
58636.4108681 2 19.8899 0.155044
58633.341956 2 20.7763 0.271839
