ZTF19aaxffum 0.054988 Ia-91T
58693.2337847 1 20.3958 0.211655
58693.2333218 1 20.4702 0.301375
58690.1924306 1 20.4233 0.20393
58690.1919676 1 20.1749 0.164232
58684.2106944 1 20.0005 0.192565
58684.1899306 1 19.8421 0.133788
58678.2720486 1 19.3901 0.18191
58678.2710301 1 19.4556 0.194266
58675.2990046 1 19.3378 0.145608
58675.2962384 1 19.2651 0.173539
58674.2063079 1 19.1564 0.129929
58672.1867477 1 19.0333 0.0929394
58672.1839468 1 19.008 0.101748
58672.183044 1 19.0806 0.10837
58666.2104745 1 18.3932 0.0619958
58666.2090856 1 18.5595 0.072078
58663.2118056 1 18.2587 0.0612113
58663.2109028 1 18.1267 0.0547669
58660.2075116 1 17.9787 0.0585174
58657.2128241 1 17.8055 0.0685652
58657.2100463 1 17.8606 0.0435011
58653.2936343 1 17.7697 0.0675973
58653.2743403 1 17.7449 0.0588739
58650.2101852 1 17.7735 0.0659128
58650.1926505 1 17.7954 0.0691291
58647.2136111 1 17.7618 0.0595343
58647.2121875 1 17.8279 0.0680445
58646.2086574 1 17.9369 0.0580416
58644.2098727 1 18.0081 0.0626978
58641.2303472 1 18.4167 0.0925084
58641.2298958 1 18.4689 0.086391
58638.316331 1 19.374 0.116531
58638.3153588 1 19.2965 0.135659
