ZTF19aaxfzao 0.037000 Ia
58725.2347801 2 19.919 0.174941
58711.2966898 2 19.5648 0.177906
58707.1702083 2 19.5183 0.1536
58703.1866204 2 19.3953 0.13547
58703.1820139 2 19.5107 0.184226
58694.1980787 2 19.0088 0.141176
58691.1994792 2 18.8677 0.10726
58691.1952662 2 18.8927 0.0950049
58688.3709144 2 18.677 0.091146
58684.1761111 2 18.4055 0.0821365
58684.1752083 2 18.4022 0.073312
58681.2804051 2 18.3119 0.110974
58681.2776389 2 18.3376 0.0760798
58678.2488542 2 18.2064 0.0625594
58678.2465509 2 18.3135 0.107055
58675.2914468 2 18.2211 0.0648025
58675.2848843 2 18.2213 0.0970624
58669.4071412 2 18.1545 0.0745527
58669.3303704 2 18.2124 0.0600765
58663.3373495 2 17.8219 0.0744127
58663.3153125 2 17.7776 0.0577556
58657.3837963 2 17.5415 0.0609914
58657.3567593 2 17.5271 0.0544724
58653.4137616 2 17.5143 0.0495545
58653.4025 2 17.4946 0.057902
58650.3273611 2 17.5789 0.0659584
58650.3174074 2 17.5593 0.0543266
58647.3108912 2 17.7294 0.0608081
58647.3085648 2 17.7674 0.070937
58644.3242593 2 18.04 0.0851303
58644.2988079 2 18.0205 0.0682793
58641.4058449 2 18.5751 0.0823434
58641.4025694 2 18.6172 0.0753655
58638.3097106 2 19.8297 0.175475
