ZTF19aaxpjpq 0.072900 Ia
58673.1854977 1 20.1491 0.281925
58670.1994329 1 19.7046 0.25798
58667.2028472 1 19.6234 0.209436
58662.2078704 1 19.0283 0.13185
58662.2046991 1 19.1116 0.119767
58658.1964699 1 18.8436 0.0998711
58654.2358912 1 18.5147 0.129363
58649.179456 1 18.503 0.134262
58649.1785532 1 18.5661 0.114458
58646.1923611 1 18.6996 0.217729
58643.1747685 1 18.8844 0.117756
58643.1729514 1 19.1215 0.14997
58640.2012731 1 19.4746 0.151382
58640.1765625 1 19.4995 0.186936
58637.220463 1 20.4385 0.241445
