ZTF19aaxqsbn 0.057000 Ia
58987.3225116 2 18.9646 0.0836846
58986.2849769 2 18.9114 0.0934437
58985.2837384 2 19.0068 0.124937
58981.2648148 2 18.9291 0.121036
58978.2686921 2 18.9125 0.103579
58972.4087153 2 18.8651 0.133719
58966.3814815 2 18.9554 0.0813856
58956.3031597 2 18.8989 0.123279
58944.3787153 2 18.9238 0.139464
58940.5246644 2 18.9888 0.124783
58913.4376736 2 18.8729 0.124314
58900.428588 2 18.8527 0.0828388
58895.4278704 2 18.8816 0.0885953
58894.5130093 2 18.7812 0.0895633
58893.2963657 2 18.8593 0.0790954
58892.3043403 2 18.9002 0.110449
58888.4492014 2 19.0687 0.201135
58886.5179051 2 18.9134 0.111801
58885.494919 2 19.0852 0.142459
58881.3432986 2 19.0517 0.110365
58880.3504745 2 18.7909 0.123827
58879.3446065 2 18.8711 0.214843
58878.3405208 2 18.8692 0.0902457
58876.5711806 2 18.8835 0.10604
58875.5091782 2 18.7268 0.114207
58873.5132523 2 18.8144 0.100655
58871.5279514 2 18.821 0.115065
58867.4774884 2 18.8708 0.123594
58866.5320255 2 18.9332 0.109151
58864.4900463 2 19.0025 0.10521
58863.5578588 2 18.8884 0.111071
58862.3906597 2 18.962 0.159747
58861.5345023 2 18.8387 0.169091
58859.4280556 2 19.1315 0.139097
58854.4533796 2 18.7697 0.170857
58852.4186227 2 18.8681 0.094668
58851.498287 2 18.957 0.143974
58850.4906829 2 18.8408 0.106291
58849.4321296 2 18.8421 0.0976097
58837.4693981 2 18.7462 0.0928041
58836.4824769 2 18.9372 0.129123
58835.4745023 2 18.7325 0.228549
58833.4642477 2 18.8378 0.164353
58749.1222685 2 19.1831 0.200818
58737.181169 2 18.8516 0.186833
58734.1315972 2 18.9904 0.199587
58726.1432986 2 19.2121 0.184872
58723.1429398 2 19.4176 0.1927
58712.2433796 2 19.4244 0.201282
58709.1924769 2 19.3472 0.202285
58708.1928704 2 19.5987 0.180818
58707.1915046 2 19.157 0.118022
58706.1928241 2 19.3043 0.140614
58705.1920718 2 19.3178 0.166428
58704.2742708 2 19.5557 0.187071
58703.2796644 2 19.5032 0.21556
58702.2778009 2 19.3872 0.188084
58701.2784028 2 19.4275 0.156604
58700.274537 2 19.532 0.197226
58699.2780093 2 19.4597 0.176815
58697.2970486 2 19.3785 0.174253
58696.2750579 2 19.3276 0.146035
58694.1854861 2 19.3689 0.150712
58693.2154861 2 19.1269 0.150856
58691.1770602 2 19.6397 0.154942
58690.1790972 2 19.5118 0.141757
58690.1771991 2 19.8658 0.180003
58684.2322917 2 19.6863 0.238541
58683.2138542 2 19.6153 0.195625
58676.2127083 2 19.1783 0.125977
58670.3075 2 19.1366 0.127054
58661.2067361 2 18.7965 0.103521
58658.2407292 2 18.5622 0.0791126
58655.1800116 2 18.4147 0.10445
58652.3030208 2 18.3169 0.125055
58649.2255208 2 18.3503 0.0765629
58646.2407407 2 18.6046 0.1042
58643.2490509 2 18.7077 0.0850793
58640.2400463 2 19.2705 0.111001
